model,hostname,accuracy,f1_score,precision,recall,roc_auc,fpr_at_90_recall,recall_at_10_fpr,true_positives,false_positives,true_negatives,false_negatives,caught_anomalies,missed_anomalies,false_alarms,total_test_samples,total_anomalies
Random Forest,b2c53ee,0.916010498687664,0.0,0.0,0.0,0.589541547277937,0.5644699140401146,0.03125,0,0,349,32,0,32,0,381,32
AdaBoost,b2c53ee,0.916010498687664,0.0,0.0,0.0,0.41202542979942697,0.8710601719197708,0.09375,0,0,349,32,0,32,0,381,32
Naive Bayes,b2c53ee,0.5328083989501312,0.07291666666666667,0.04375,0.21875,0.2642818767908309,0.9770773638968482,0.03125,7,153,196,25,7,25,153,381,32
Linear Classifier (Logistic Regression),33fe84e,0.5459057071960298,0.08955223880597014,0.05,0.42857142857142855,0.4733233607579157,0.8403141361256544,0.09523809523809523,9,171,211,12,9,12,171,403,21
Nearest Neighbors,33fe84e,0.9429280397022333,0.0,0.0,0.0,0.4845425081027176,0.9502617801047121,0.09523809523809523,0,2,380,21,0,21,2,403,21
Linear SVM,33fe84e,0.2109181141439206,0.09142857142857143,0.0486322188449848,0.7619047619047619,0.544003989030167,0.7827225130890052,0.047619047619047616,16,313,69,5,16,5,313,403,21
RBF SVM,33fe84e,0.8535980148883374,0.06349206349206349,0.047619047619047616,0.09523809523809523,0.5052356020942408,0.8455497382198953,0.14285714285714285,2,40,342,19,2,19,40,403,21
Decision Tree,33fe84e,0.8114143920595533,0.02564102564102564,0.017543859649122806,0.047619047619047616,0.4136748940413862,0.9240837696335078,0.047619047619047616,1,56,326,20,1,20,56,403,21
Random Forest,33fe84e,0.9478908188585607,0.0,0.0,0.0,0.4721391174270756,0.9083769633507853,0.14285714285714285,0,0,382,21,0,21,0,403,21
AdaBoost,33fe84e,0.9429280397022333,0.0,0.0,0.0,0.4085016205435053,0.918848167539267,0.0,0,2,380,21,0,21,2,403,21
Naive Bayes,33fe84e,0.9478908188585607,0.0,0.0,0.0,0.443779606083271,0.8717277486910995,0.047619047619047616,0,0,382,21,0,21,0,403,21
Linear Classifier (Logistic Regression),ed86ea2,0.8088235294117647,0.4,0.35135135135135137,0.4642857142857143,0.646205357142857,0.9545454545454546,0.35714285714285715,13,24,152,15,13,15,24,204,28
Nearest Neighbors,ed86ea2,0.8578431372549019,0.21621621621621623,0.4444444444444444,0.14285714285714285,0.7218952922077922,0.9829545454545454,0.42857142857142855,4,5,171,24,4,24,5,204,28
Linear SVM,ed86ea2,0.8186274509803921,0.39344262295081966,0.36363636363636365,0.42857142857142855,0.6011566558441559,0.9488636363636364,0.39285714285714285,12,21,155,16,12,16,21,204,28
RBF SVM,ed86ea2,0.7254901960784313,0.46153846153846156,0.3157894736842105,0.8571428571428571,0.8128043831168831,0.5625,0.42857142857142855,24,52,124,4,24,4,52,204,28
Decision Tree,ed86ea2,0.8480392156862745,0.11428571428571428,0.2857142857142857,0.07142857142857142,0.24939123376623373,0.9829545454545454,0.07142857142857142,2,5,171,26,2,26,5,204,28
Random Forest,ed86ea2,0.8627450980392157,0.0,0.0,0.0,0.6234780844155846,0.9545454545454546,0.39285714285714285,0,0,176,28,0,28,0,204,28
AdaBoost,ed86ea2,0.8480392156862745,0.0,0.0,0.0,0.2401582792207792,0.9602272727272727,0.07142857142857142,0,3,173,28,0,28,3,204,28
Naive Bayes,ed86ea2,0.7990196078431373,0.32786885245901637,0.30303030303030304,0.35714285714285715,0.46398133116883117,0.9659090909090909,0.25,10,23,153,18,10,18,23,204,28
Linear Classifier (Logistic Regression),6ca8355,0.8236775818639799,0.027777777777777776,0.020833333333333332,0.041666666666666664,0.32707774798927614,0.9571045576407506,0.0,1,47,326,23,1,23,47,397,24
Nearest Neighbors,6ca8355,0.9395465994962217,0.0,0.0,0.0,0.4691689008042895,0.8203753351206434,0.125,0,0,373,24,0,24,0,397,24
Linear SVM,6ca8355,0.8589420654911839,0.034482758620689655,0.029411764705882353,0.041666666666666664,0.33054066130473636,0.9651474530831099,0.08333333333333333,1,33,340,23,1,23,33,397,24
RBF SVM,6ca8355,0.7682619647355163,0.09803921568627451,0.0641025641025641,0.20833333333333334,0.45442359249329756,0.9061662198391421,0.08333333333333333,5,73,300,19,5,19,73,397,24
Decision Tree,6ca8355,0.9395465994962217,0.0,0.0,0.0,0.5,0.7801608579088471,0.375,0,0,373,24,0,24,0,397,24
Random Forest,6ca8355,0.9395465994962217,0.0,0.0,0.0,0.4373882931188561,0.8766756032171582,0.0,0,0,373,24,0,24,0,397,24
AdaBoost,6ca8355,0.9395465994962217,0.0,0.0,0.0,0.48251787310098304,0.7855227882037533,0.041666666666666664,0,0,373,24,0,24,0,397,24
Naive Bayes,6ca8355,0.9395465994962217,0.0,0.0,0.0,0.4845285969615728,0.7613941018766756,0.08333333333333333,0,0,373,24,0,24,0,397,24
Linear Classifier (Logistic Regression),da6d469,0.7930174563591023,0.023529411764705882,0.013333333333333334,0.1,0.3097186700767263,0.9411764705882353,0.1,1,74,317,9,1,9,74,401,10
Nearest Neighbors,da6d469,0.9750623441396509,0.0,0.0,0.0,0.49744245524296676,0.4731457800511509,0.0,0,0,391,10,0,10,0,401,10
