model,hostname,accuracy,f1_score,precision,recall,roc_auc,fpr_at_90_recall,recall_at_10_fpr,true_positives,false_positives,true_negatives,false_negatives,caught_anomalies,missed_anomalies,false_alarms,total_test_samples,total_anomalies
Decision Tree,6ca8355,0.672544080604534,0.1095890410958904,0.08602150537634409,0.1509433962264151,0.4528576129881527,0.8633720930232558,0.05660377358490566,8,85,259,45,8,45,85,397,53
Random Forest,6ca8355,0.8664987405541562,0.0,0.0,0.0,0.39274352786309785,0.9040697674418605,0.05660377358490566,0,0,344,53,0,53,0,397,53
AdaBoost,6ca8355,0.8639798488664987,0.0,0.0,0.0,0.4176448003510312,0.8633720930232558,0.07547169811320754,0,1,343,53,0,53,1,397,53
Naive Bayes,6ca8355,0.6297229219143576,0.08695652173913043,0.06481481481481481,0.1320754716981132,0.36082163229486613,0.9505813953488372,0.05660377358490566,7,101,243,46,7,46,101,397,53
Linear Classifier (Logistic Regression),9ab8252,0.6625310173697271,0.014492753623188406,0.007633587786259542,0.14285714285714285,0.37932900432900424,1.0,0.0,1,130,266,6,1,6,130,403,7
Nearest Neighbors,9ab8252,0.9826302729528535,0.0,0.0,0.0,0.4595959595959596,1.0,0.0,0,0,396,7,0,7,0,403,7
Linear SVM,9ab8252,0.9702233250620348,0.0,0.0,0.0,0.56511544011544,0.9343434343434344,0.2857142857142857,0,5,391,7,0,7,5,403,7
RBF SVM,9ab8252,0.9826302729528535,0.0,0.0,0.0,0.3317099567099566,0.9974747474747475,0.14285714285714285,0,0,396,7,0,7,0,403,7
Decision Tree,9ab8252,0.9181141439205955,0.0,0.0,0.0,0.4671717171717172,1.0,0.0,0,26,370,7,0,7,26,403,7
Random Forest,9ab8252,0.9826302729528535,0.0,0.0,0.0,0.31800144300144306,0.9419191919191919,0.0,0,0,396,7,0,7,0,403,7
AdaBoost,9ab8252,0.9826302729528535,0.0,0.0,0.0,0.5533910533910533,0.9949494949494949,0.0,0,0,396,7,0,7,0,403,7
Naive Bayes,9ab8252,0.9429280397022333,0.0,0.0,0.0,0.47745310245310246,0.8484848484848485,0.14285714285714285,0,16,380,7,0,7,16,403,7
Linear Classifier (Logistic Regression),da6d469,0.7905236907730673,0.045454545454545456,0.025974025974025976,0.18181818181818182,0.3601398601398601,0.9333333333333333,0.0,2,75,315,9,2,9,75,401,11
Nearest Neighbors,da6d469,0.972568578553616,0.0,0.0,0.0,0.4858974358974359,0.4794871794871795,0.0,0,0,390,11,0,11,0,401,11
Linear SVM,da6d469,0.7406483790523691,0.037037037037037035,0.020618556701030927,0.18181818181818182,0.3601398601398601,0.9641025641025641,0.09090909090909091,2,95,295,9,2,9,95,401,11
RBF SVM,da6d469,0.6334164588528678,0.0,0.0,0.0,0.7095571095571096,0.6076923076923076,0.2727272727272727,0,136,254,11,0,11,136,401,11
Decision Tree,da6d469,0.9326683291770573,0.06896551724137931,0.05555555555555555,0.09090909090909091,0.5236596736596736,0.49743589743589745,0.09090909090909091,1,17,373,10,1,10,17,401,11
Random Forest,da6d469,0.972568578553616,0.0,0.0,0.0,0.573076923076923,0.7153846153846154,0.18181818181818182,0,0,390,11,0,11,0,401,11
AdaBoost,da6d469,0.972568578553616,0.0,0.0,0.0,0.5731934731934731,0.8461538461538461,0.09090909090909091,0,0,390,11,0,11,0,401,11
Naive Bayes,da6d469,0.27680798004987534,0.03333333333333333,0.01730103806228374,0.45454545454545453,0.34673659673659674,0.9692307692307692,0.09090909090909091,5,284,106,6,5,6,284,401,11
Linear Classifier (Logistic Regression),7f6d63d,0.7468982630272953,0.019230769230769232,0.010638297872340425,0.1,0.42404580152671756,0.9491094147582697,0.1,1,93,300,9,1,9,93,403,10
Nearest Neighbors,7f6d63d,0.9702233250620348,0.0,0.0,0.0,0.5333333333333333,0.816793893129771,0.2,0,2,391,10,0,10,2,403,10
Linear SVM,7f6d63d,0.8684863523573201,0.03636363636363636,0.022222222222222223,0.1,0.46730279898218835,0.9541984732824428,0.1,1,44,349,9,1,9,44,403,10
RBF SVM,7f6d63d,0.858560794044665,0.03389830508474576,0.02040816326530612,0.1,0.5001272264631043,0.926208651399491,0.1,1,48,345,9,1,9,48,403,10
Decision Tree,7f6d63d,0.6203473945409429,0.049689440993788817,0.026490066225165563,0.4,0.504325699745547,0.9007633587786259,0.2,4,147,246,6,4,6,147,403,10
Random Forest,7f6d63d,0.9751861042183623,0.0,0.0,0.0,0.5290076335877862,0.9643765903307888,0.2,0,0,393,10,0,10,0,403,10
AdaBoost,7f6d63d,0.9553349875930521,0.0,0.0,0.0,0.4904580152671756,0.8320610687022901,0.2,0,8,385,10,0,10,8,403,10
Naive Bayes,7f6d63d,0.9379652605459057,0.0,0.0,0.0,0.4736641221374046,0.8727735368956743,0.0,0,15,378,10,0,10,15,403,10
Linear Classifier (Logistic Regression),972f622,0.7753086419753087,0.09900990099009901,0.05952380952380952,0.29411764705882354,0.538280776228017,0.8994845360824743,0.23529411764705882,5,79,309,12,5,12,79,405,17
Nearest Neighbors,972f622,0.9580246913580247,0.0,0.0,0.0,0.5222862340812614,0.8556701030927835,0.11764705882352941,0,0,388,17,0,17,0,405,17
Linear SVM,972f622,0.7061728395061728,0.0916030534351145,0.05263157894736842,0.35294117647058826,0.5435870224378412,0.8891752577319587,0.17647058823529413,6,108,280,11,6,11,108,405,17
RBF SVM,972f622,0.5777777777777777,0.09523809523809523,0.05232558139534884,0.5294117647058824,0.5235748938750758,0.8195876288659794,0.17647058823529413,9,163,225,8,9,8,163,405,17
Decision Tree,972f622,0.837037037037037,0.1951219512195122,0.12307692307692308,0.47058823529411764,0.7117950272892662,0.8711340206185567,0.35294117647058826,8,57,331,9,8,9,57,405,17
Random Forest,972f622,0.9580246913580247,0.0,0.0,0.0,0.6474378411158278,0.6804123711340206,0.23529411764705882,0,0,388,17,0,17,0,405,17
AdaBoost,972f622,0.9308641975308642,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.6907974530018193,0.6391752577319587,0.35294117647058826,3,14,374,14,3,14,14,405,17
Naive Bayes,972f622,0.9259259259259259,0.21052631578947367,0.19047619047619047,0.23529411764705882,0.5745148574893875,0.884020618556701,0.35294117647058826,4,17,371,13,4,13,17,405,17
Linear Classifier (Logistic Regression),575f518,0.7293233082706767,0.0,0.0,0.0,0.23241206030150752,0.7688442211055276,0.0,0,107,291,1,0,1,107,399,1
Nearest Neighbors,575f518,0.974937343358396,0.0,0.0,0.0,0.44095477386934673,0.30402010050251255,0.0,0,9,389,1,0,1,9,399,1
Linear SVM,575f518,0.6265664160401002,0.0,0.0,0.0,0.699748743718593,0.2989949748743719,0.0,0,148,250,1,0,1,148,399,1
RBF SVM,575f518,0.9774436090225563,0.0,0.0,0.0,0.10678391959798994,0.8944723618090452,0.0,0,8,390,1,0,1,8,399,1
Decision Tree,575f518,0.6115288220551378,0.0,0.0,0.0,0.3065326633165829,0.6130653266331658,0.0,0,154,244,1,0,1,154,399,1
Random Forest,575f518,0.9974937343358395,0.0,0.0,0.0,0.36683417085427134,0.6256281407035176,0.0,0,0,398,1,0,1,0,399,1
AdaBoost,575f518,0.9924812030075187,0.0,0.0,0.0,0.40326633165829145,0.5954773869346733,0.0,0,2,396,1,0,1,2,399,1
Naive Bayes,575f518,0.9974937343358395,0.0,0.0,0.0,0.37060301507537685,0.6306532663316583,0.0,0,0,398,1,0,1,0,399,1
Linear Classifier (Logistic Regression),953d46d,0.5959595959595959,0.08045977011494253,0.046052631578947366,0.3181818181818182,0.42653135634419054,0.93048128342246,0.045454545454545456,7,145,229,15,7,15,145,396,22
Nearest Neighbors,953d46d,0.8838383838383839,0.08,0.07142857142857142,0.09090909090909091,0.5401069518716578,0.7192513368983957,0.09090909090909091,2,26,348,20,2,20,26,396,22
Linear SVM,953d46d,0.40404040404040403,0.078125,0.042735042735042736,0.45454545454545453,0.44111570247933884,0.9171122994652406,0.0,10,224,150,12,10,12,224,396,22
RBF SVM,953d46d,0.4393939393939394,0.08264462809917356,0.045454545454545456,0.45454545454545453,0.46238454059309675,0.9652406417112299,0.045454545454545456,10,210,164,12,10,12,210,396,22
Decision Tree,953d46d,0.5808080808080808,0.09782608695652174,0.05555555555555555,0.4090909090909091,0.49781234807972774,0.8663101604278075,0.045454545454545456,9,153,221,13,9,13,153,396,22
Random Forest,953d46d,0.9393939393939394,0.0,0.0,0.0,0.4763004375303841,0.8877005347593583,0.09090909090909091,0,2,372,22,0,22,2,396,22
AdaBoost,953d46d,0.9065656565656566,0.0,0.0,0.0,0.5143412736995625,0.7513368983957219,0.045454545454545456,0,15,359,22,0,22,15,396,22
Naive Bayes,953d46d,0.8207070707070707,0.0273972602739726,0.0196078431372549,0.045454545454545456,0.3732984929508994,0.9438502673796791,0.045454545454545456,1,50,324,21,1,21,50,396,22
Linear Classifier (Logistic Regression),25b3303,0.9580246913580247,0.10526315789473684,0.25,0.06666666666666667,0.4708547008547008,0.958974358974359,0.06666666666666667,1,3,387,14,1,14,3,405,15
Nearest Neighbors,25b3303,0.9061728395061729,0.05,0.04,0.06666666666666667,0.5008547008547009,0.8974358974358975,0.13333333333333333,1,24,366,14,1,14,24,405,15
Linear SVM,25b3303,0.9629629629629629,0.0,0.0,0.0,0.4428205128205128,0.9743589743589743,0.13333333333333333,0,0,390,15,0,15,0,405,15
RBF SVM,25b3303,0.9333333333333333,0.0,0.0,0.0,0.45136752136752134,0.882051282051282,0.0,0,12,378,15,0,15,12,405,15
Decision Tree,25b3303,0.7308641975308642,0.09917355371900827,0.05660377358490566,0.4,0.5631623931623931,0.8974358974358975,0.2,6,100,290,9,6,9,100,405,15
Random Forest,25b3303,0.9629629629629629,0.0,0.0,0.0,0.47547008547008557,0.7692307692307693,0.13333333333333333,0,0,390,15,0,15,0,405,15
AdaBoost,25b3303,0.9061728395061729,0.05,0.04,0.06666666666666667,0.40521367521367524,0.9512820512820512,0.06666666666666667,1,24,366,14,1,14,24,405,15
Naive Bayes,25b3303,0.9629629629629629,0.0,0.0,0.0,0.43666666666666665,0.9307692307692308,0.06666666666666667,0,0,390,15,0,15,0,405,15
Linear Classifier (Logistic Regression),29129b6,0.7805486284289277,0.0,0.0,0.0,0.35683099150591413,0.913312693498452,0.0,0,10,313,78,0,78,10,401,78
Nearest Neighbors,29129b6,0.8054862842892768,0.0,0.0,0.0,0.5,0.9566563467492261,0.01282051282051282,0,0,323,78,0,78,0,401,78
Linear SVM,29129b6,0.7780548628428927,0.0,0.0,0.0,0.6435659283956497,0.7585139318885449,0.1282051282051282,0,11,312,78,0,78,11,401,78
RBF SVM,29129b6,0.7481296758104738,0.019417475728155338,0.04,0.01282051282051282,0.6284035881559101,0.7956656346749226,0.11538461538461539,1,24,299,77,1,77,24,401,78
Decision Tree,29129b6,0.7930174563591023,0.04597701149425287,0.2222222222222222,0.02564102564102564,0.5018853695324282,0.9504643962848297,0.038461538461538464,2,7,316,76,2,76,7,401,78
Random Forest,29129b6,0.8054862842892768,0.0,0.0,0.0,0.5082757799476066,0.9442724458204335,0.16666666666666666,0,0,323,78,0,78,0,401,78
AdaBoost,29129b6,0.8054862842892768,0.0,0.0,0.0,0.4867428752877669,0.8544891640866873,0.02564102564102564,0,0,323,78,0,78,0,401,78
