model,hostname,accuracy,f1_score,precision,recall,roc_auc,fpr_at_90_recall,recall_at_10_fpr,true_positives,false_positives,true_negatives,false_negatives,caught_anomalies,missed_anomalies,false_alarms,total_test_samples,total_anomalies
Linear SVM,7f6d63d,0.3399503722084367,0.37264150943396224,0.23652694610778444,0.8777777777777778,0.559797657082002,0.8690095846645367,0.18888888888888888,79,255,58,11,79,11,255,403,90
RBF SVM,7f6d63d,0.315136476426799,0.3640552995391705,0.22965116279069767,0.8777777777777778,0.6010117145899894,0.8626198083067093,0.15555555555555556,79,265,48,11,79,11,265,403,90
Decision Tree,7f6d63d,0.4838709677419355,0.2777777777777778,0.20202020202020202,0.4444444444444444,0.45008874689385875,0.939297124600639,0.1111111111111111,40,158,155,50,40,50,158,403,90
Random Forest,7f6d63d,0.7766749379652605,0.0,0.0,0.0,0.4769613063542776,0.8402555910543131,0.06666666666666667,0,0,313,90,0,90,0,403,90
AdaBoost,7f6d63d,0.7692307692307693,0.021052631578947368,0.2,0.011111111111111112,0.4659389421370252,0.8690095846645367,0.03333333333333333,1,4,309,89,1,89,4,403,90
Naive Bayes,7f6d63d,0.5533498759305211,0.36619718309859156,0.26804123711340205,0.5777777777777777,0.5869187078452254,0.8498402555910544,0.15555555555555556,52,142,171,38,52,38,142,403,90
Linear Classifier (Logistic Regression),972f622,0.7407407407407407,0.08695652173913043,0.05263157894736842,0.25,0.5187662337662338,0.9064935064935065,0.05,5,90,295,15,5,15,90,405,20
Nearest Neighbors,972f622,0.945679012345679,0.0,0.0,0.0,0.4851948051948052,0.8675324675324675,0.0,0,2,383,20,0,20,2,405,20
Linear SVM,972f622,0.7037037037037037,0.11764705882352941,0.06896551724137931,0.4,0.5329220779220779,0.9246753246753247,0.15,8,108,277,12,8,12,108,405,20
RBF SVM,972f622,0.5506172839506173,0.11650485436893204,0.06451612903225806,0.6,0.5162987012987014,0.9272727272727272,0.15,12,174,211,8,12,8,174,405,20
Decision Tree,972f622,0.7160493827160493,0.12213740458015267,0.07207207207207207,0.4,0.5603246753246753,0.9272727272727272,0.3,8,103,282,12,8,12,103,405,20
Random Forest,972f622,0.9481481481481482,0.0,0.0,0.0,0.5287012987012987,0.9506493506493506,0.1,0,1,384,20,0,20,1,405,20
AdaBoost,972f622,0.9135802469135802,0.2222222222222222,0.2,0.25,0.6574675324675325,0.6987012987012987,0.3,5,20,365,15,5,15,20,405,20
Naive Bayes,972f622,0.9308641975308642,0.06666666666666667,0.1,0.05,0.5964285714285714,0.9038961038961039,0.3,1,9,376,19,1,19,9,405,20
Linear Classifier (Logistic Regression),64b750b,0.8944099378881988,0.0,0.0,0.0,0.6286764705882352,0.8888888888888888,0.23529411764705882,0,0,144,17,0,17,0,161,17
Nearest Neighbors,64b750b,0.8944099378881988,0.0,0.0,0.0,0.6399101307189542,0.6111111111111112,0.29411764705882354,0,0,144,17,0,17,0,161,17
Linear SVM,64b750b,0.8944099378881988,0.0,0.0,0.0,0.3088235294117647,0.875,0.058823529411764705,0,0,144,17,0,17,0,161,17
RBF SVM,64b750b,0.7329192546583851,0.37681159420289856,0.25,0.7647058823529411,0.7295751633986929,0.625,0.29411764705882354,13,39,105,4,13,4,39,161,17
Decision Tree,64b750b,0.8944099378881988,0.0,0.0,0.0,0.5,0.9305555555555556,0.11764705882352941,0,0,144,17,0,17,0,161,17
Random Forest,64b750b,0.8944099378881988,0.0,0.0,0.0,0.7218137254901961,0.6527777777777778,0.23529411764705882,0,0,144,17,0,17,0,161,17
AdaBoost,64b750b,0.8944099378881988,0.0,0.0,0.0,0.5,0.9305555555555556,0.11764705882352941,0,0,144,17,0,17,0,161,17
Naive Bayes,64b750b,0.8944099378881988,0.0,0.0,0.0,0.5,0.9305555555555556,0.11764705882352941,0,0,144,17,0,17,0,161,17
Linear Classifier (Logistic Regression),575f518,0.7543859649122807,0.125,0.08333333333333333,0.25,0.5416345783596458,0.9380053908355795,0.03571428571428571,7,77,294,21,7,21,77,399,28
Nearest Neighbors,575f518,0.8646616541353384,0.12903225806451613,0.11764705882352941,0.14285714285714285,0.5058721601848287,0.9191374663072777,0.14285714285714285,4,30,341,24,4,24,30,399,28
Linear SVM,575f518,0.7418546365914787,0.13445378151260504,0.08791208791208792,0.2857142857142857,0.5554967269926838,0.8301886792452831,0.07142857142857142,8,83,288,20,8,20,83,399,28
RBF SVM,575f518,0.6867167919799498,0.08759124087591241,0.05504587155963303,0.21428571428571427,0.5157393145937621,0.9326145552560647,0.10714285714285714,6,103,268,22,6,22,103,399,28
Decision Tree,575f518,0.8471177944862155,0.11594202898550725,0.0975609756097561,0.14285714285714285,0.5106372737774355,0.9191374663072777,0.14285714285714285,4,37,334,24,4,24,37,399,28
Random Forest,575f518,0.9197994987468672,0.0,0.0,0.0,0.5486137851366962,0.9353099730458221,0.17857142857142858,0,4,367,28,0,28,4,399,28
AdaBoost,575f518,0.9047619047619048,0.0,0.0,0.0,0.5255583365421641,0.8867924528301887,0.10714285714285714,0,10,361,28,0,28,10,399,28
Naive Bayes,575f518,0.9097744360902256,0.0,0.0,0.0,0.49677512514439737,0.9056603773584906,0.07142857142857142,0,8,363,28,0,28,8,399,28
Linear Classifier (Logistic Regression),8445893,0.93125,0.0,0.0,0.0,0.3328248932275778,0.87248322147651,0.09090909090909091,0,0,149,11,0,11,0,160,11
Nearest Neighbors,8445893,0.93125,0.0,0.0,0.0,0.5320317266625991,0.37583892617449666,0.8181818181818182,0,0,149,11,0,11,0,160,11
Linear SVM,8445893,0.84375,0.0,0.0,0.0,0.36394142769981697,0.9865771812080537,0.0,0,14,135,11,0,11,14,160,11
RBF SVM,8445893,0.79375,0.32653061224489793,0.21052631578947367,0.7272727272727273,0.8001830384380719,0.6241610738255033,0.6363636363636364,8,30,119,3,8,3,30,160,11
Decision Tree,8445893,0.90625,0.11764705882352941,0.16666666666666666,0.09090909090909091,0.5286760219646125,0.3691275167785235,0.8181818181818182,1,5,144,10,1,10,5,160,11
Random Forest,8445893,0.93125,0.0,0.0,0.0,0.7721171446003661,0.35570469798657717,0.18181818181818182,0,0,149,11,0,11,0,160,11
AdaBoost,8445893,0.93125,0.0,0.0,0.0,0.5716900549115315,0.87248322147651,0.09090909090909091,0,0,149,11,0,11,0,160,11
Naive Bayes,8445893,0.9375,0.375,0.6,0.2727272727272727,0.7708968883465528,0.6711409395973155,0.5454545454545454,3,2,147,8,3,8,2,160,11
Linear Classifier (Logistic Regression),5c5004f,0.8373493975903614,0.0,0.0,0.0,0.2324806821209699,0.9928057553956835,0.0,0,0,139,27,0,27,0,166,27
Nearest Neighbors,5c5004f,0.7530120481927711,0.3050847457627119,0.28125,0.3333333333333333,0.7099653610444976,0.9064748201438849,0.25925925925925924,9,23,116,18,9,18,23,166,27
